City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
1353,Kamenicky Senov,CZ,50.7736,14.4729,32.18,97,100,8.57,overcast clouds
1354,Killybegs,IE,54.6333,-8.45,44.31,67,44,23.58,light rain
1355,Marfino,RU,55.7028,37.3822,22.95,82,20,6.71,few clouds
1356,Agadir,MA,30.4202,-9.5982,61.25,58,0,3.47,clear sky
1357,Bandiagara,ML,14.3501,-3.6104,81.75,11,100,8.57,overcast clouds
1358,Bandar-E Lengeh,IR,26.5579,54.8807,73.4,58,28,6.4,scattered clouds
1359,Tazovskiy,RU,67.4667,78.7,-29.31,99,54,5.99,broken clouds
1360,Newtonmore,GB,57.066,-4.1192,38.08,91,99,14.61,overcast clouds
1361,Boddam,GB,57.4667,-1.7833,43.18,74,100,34.09,overcast clouds
1362,Pandrup,DK,57.2215,9.6757,35.33,93,90,19.57,light rain
1363,Tveit,NO,58.2337,8.122,31.62,100,90,19.57,snow
1364,Kudahuvadhoo,MV,2.6708,72.8944,82.26,77,14,12.55,few clouds
1365,Rudbar,AF,30.15,62.6,56.77,42,0,5.88,clear sky
1366,Fastiv,UA,50.0767,29.9177,28.71,87,100,6.11,overcast clouds
1367,Thompson,CA,55.7435,-97.8558,2.8,89,100,5.84,overcast clouds
1368,Oulainen,FI,64.2667,24.8,10.26,95,10,5.1,clear sky
1369,Santa Lucia,ES,27.9117,-15.5407,60.12,52,20,14.97,few clouds
1370,Breytovo,RU,58.2993,37.8617,10.42,90,96,6.55,overcast clouds
1371,Bad Durkheim,DE,49.4686,8.1664,45.99,81,100,13.11,overcast clouds
1372,Borovskoy,KZ,53.8,64.15,32.36,90,94,15.73,overcast clouds
1373,Simdega,IN,22.6167,84.5167,63.0,83,83,6.24,broken clouds
1374,Simoes,BR,-7.5989,-40.8178,81.7,59,100,3.71,overcast clouds
1375,Mucurapo,TT,10.6667,-61.5333,84.02,78,91,10.76,overcast clouds
1376,Stornoway,GB,58.2093,-6.3865,39.16,86,40,3.0,scattered clouds
1377,San Miguel De Cauri,PE,-10.1,-76.5833,54.77,65,99,7.14,overcast clouds
1378,Hamadan,IR,34.7992,48.5146,40.78,28,35,5.55,scattered clouds
1379,Moura,PT,38.1401,-7.4486,54.99,93,52,7.05,broken clouds
1380,Ribas Do Rio Pardo,BR,-20.4431,-53.7592,94.23,30,7,10.11,clear sky
1381,Zottegem,BE,50.8662,3.809,41.43,81,44,12.48,scattered clouds
1382,Gubbio,IT,43.3545,12.5725,47.25,66,100,5.99,overcast clouds
1383,Bisignano,IT,39.5059,16.2772,54.28,70,45,1.99,scattered clouds
1384,Cocachacra,PE,-17.0883,-71.7575,73.72,68,100,8.9,overcast clouds
1385,Tabuk,PH,17.4189,121.4443,65.97,91,100,4.0,overcast clouds
1386,Coromandel,BR,-18.4733,-47.2003,77.68,60,60,6.2,broken clouds
1387,Jiwani,PK,25.05,61.7417,76.21,62,0,8.63,clear sky
1388,Pryluky,UA,50.5932,32.3876,29.25,85,18,5.68,few clouds
1389,Aasiaat,GL,68.7098,-52.8699,39.31,59,100,31.07,overcast clouds
1390,Cherlak,RU,54.155,74.8055,30.24,92,100,10.51,overcast clouds
1391,Korhogo,CI,9.45,-5.6333,84.24,29,15,3.11,few clouds
1392,Ouadda,CF,8.0777,22.4007,76.48,31,95,5.19,overcast clouds
1393,Katwijk,NL,52.1942,4.4222,44.98,85,100,19.01,overcast clouds
1394,Olyka,UA,50.7186,25.8125,28.92,67,100,8.99,overcast clouds
1395,Varnamo,SE,57.186,14.04,32.31,93,97,4.0,overcast clouds
1396,Colgong,IN,25.2667,87.2167,68.04,65,95,5.79,overcast clouds
1397,Kulhudhuffushi,MV,6.6221,73.07,81.99,75,25,8.08,scattered clouds
1398,Polazna,RU,58.2946,56.4055,33.19,95,100,8.28,light snow
1399,Englehart,CA,47.8169,-79.8664,12.76,85,90,3.44,light snow
1400,Aden,YE,12.7794,45.0367,80.2,60,0,12.19,clear sky
1401,Santiago Del Estero,AR,-27.7951,-64.2615,76.8,39,94,10.38,overcast clouds
1402,Abramovka,RU,51.1886,41.0202,30.79,82,100,4.36,overcast clouds
1403,Garango,BF,11.8,-0.5506,84.78,13,2,7.72,clear sky
1404,Pirenopolis,BR,-15.8525,-48.9592,80.2,69,84,0.87,broken clouds
1405,Murgab,TM,37.4966,61.9714,44.38,76,100,3.94,overcast clouds
1406,Kamakhyanagar,IN,20.9333,85.55,67.26,93,100,2.62,overcast clouds
1407,Ilheus,BR,-14.7889,-39.0494,79.77,74,9,6.71,clear sky
1408,Sanchi,IN,23.4833,77.7333,62.82,56,0,5.44,clear sky
1409,Ponta Pora,BR,-22.5361,-55.7256,89.51,45,20,4.61,few clouds
1410,Las Palmas,ES,28.4204,-14.0131,63.39,45,0,14.97,clear sky
1411,Steenbergen,NL,51.5842,4.3194,45.0,85,75,20.71,broken clouds
1412,Kouroussa,GN,10.65,-9.8833,82.47,24,100,1.59,overcast clouds
1413,Garissa,KE,-0.4536,39.6401,82.98,63,77,9.46,broken clouds
1414,Ankara,TR,39.9199,32.8543,50.2,80,100,1.01,overcast clouds
1415,Charagua,BO,-19.8,-63.2167,74.03,88,100,5.93,overcast clouds
1416,Chany,RU,55.3121,76.7647,28.06,95,100,11.48,overcast clouds
1417,Bitkine,TD,11.9801,18.2138,82.36,22,6,7.27,clear sky
1418,Rodino,RU,52.5,80.25,16.7,98,100,5.97,overcast clouds
1419,Kulachi,PK,31.9286,70.4592,61.56,26,0,2.04,clear sky
1420,Angoche,MZ,-16.2325,39.9086,80.8,76,0,12.75,clear sky
1421,Bam,IR,29.106,58.357,51.48,52,0,0.83,clear sky
1422,Modra,SK,48.334,17.3071,35.2,75,75,12.66,broken clouds
1423,Llangefni,GB,53.2556,-4.3106,46.18,71,20,29.93,few clouds
1424,Isiro,CD,2.7739,27.616,67.91,96,15,1.97,few clouds
1425,Tyulyachi,RU,55.8913,50.2399,32.2,86,100,12.5,overcast clouds
1426,Mokshan,RU,53.4365,44.6132,30.18,82,76,10.94,broken clouds
1427,Andenes,NO,69.3143,16.1194,19.38,58,20,12.66,few clouds
1428,Korgen,NO,66.0771,13.8153,20.26,85,11,8.81,few clouds
1429,Emet,TR,39.343,29.2585,45.3,94,100,5.26,light rain
1430,Tucurui,BR,-3.7661,-49.6725,80.49,80,88,0.92,overcast clouds
1431,Banamba,ML,13.55,-7.45,81.3,14,100,7.94,overcast clouds
1432,Pombas,CV,17.1503,-25.0201,71.38,74,62,15.35,broken clouds
1433,Tamale,GH,9.4008,-0.8393,87.33,16,3,5.26,clear sky
1434,Fez,MA,34.0372,-4.9998,50.25,76,0,3.44,clear sky
1435,Leningradskiy,RU,69.3833,178.4167,-15.29,97,97,5.48,overcast clouds
1436,Irbit,RU,57.6705,63.071,35.74,83,100,13.98,overcast clouds
1437,Calvia,ES,39.5657,2.5062,61.92,57,95,18.68,overcast clouds
1438,Badou,TG,7.5833,0.6,80.06,51,71,2.84,broken clouds
1439,Yarega,RU,63.4354,53.5765,4.82,94,100,13.71,snow
1440,Pegnitz,DE,49.7564,11.545,39.24,99,100,5.17,light rain
1441,Zapolyarnyy,RU,69.4154,30.8136,-17.32,92,8,5.03,clear sky
1442,Mormugao,IN,15.4,73.8,76.41,85,13,6.11,few clouds
