City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
299,Axim,4.8699,-2.2405,78.24,87,29,5.44,GH,2021-12-02 04:02:33
300,Maksatikha,57.797,35.8825,14.59,95,97,6.42,RU,2021-12-02 04:02:33
301,Los Llanos De Aridane,28.6585,-17.9182,64.15,75,40,1.01,ES,2021-12-02 04:02:34
302,Misratah,32.3754,15.0925,56.66,52,4,13.65,LY,2021-12-02 04:02:34
303,Eruwa,7.5333,3.4167,73.35,98,69,3.15,NG,2021-12-02 04:02:34
304,Lavumisa,-27.31,31.892,71.71,88,27,5.73,SZ,2021-12-02 04:02:35
305,Campos,-21.75,-41.3,70.25,97,5,5.64,BR,2021-12-02 04:02:35
306,Xacmaz,41.4635,48.806,44.24,80,99,4.63,AZ,2021-12-02 04:02:36
307,Clonakilty,51.6231,-8.8706,40.21,73,49,10.49,IE,2021-12-02 04:02:36
308,Naples,40.8333,14.25,57.81,79,75,4.0,IT,2021-12-02 04:00:33
309,Pansemal,21.65,74.7,58.91,86,100,10.51,IN,2021-12-02 04:02:36
310,Talcahuano,-36.7167,-73.1167,53.55,89,100,8.95,CL,2021-12-02 04:02:37
311,Solvychegodsk,61.3305,46.9156,21.67,95,99,8.32,RU,2021-12-02 04:02:37
312,Shadrinsk,56.0852,63.6335,35.17,87,100,13.51,RU,2021-12-02 04:02:37
313,Namibe,-15.1961,12.1522,69.67,82,99,2.62,AO,2021-12-02 04:02:38
314,Darnah,32.767,22.6367,59.45,74,81,10.83,LY,2021-12-02 04:02:38
315,Terny,50.9833,33.9833,26.53,81,42,9.31,UA,2021-12-02 04:02:38
316,Les Cayes,18.2,-73.75,75.4,77,61,4.0,HT,2021-12-02 04:02:39
317,Lima,-12.0432,-77.0282,66.9,80,0,12.66,PE,2021-12-02 03:58:00
318,Margate,51.3813,1.3862,37.87,71,36,7.0,GB,2021-12-02 04:02:39
319,La Sarre,48.8002,-79.1996,23.2,95,100,13.8,CA,2021-12-02 04:00:12
320,Caledonia,42.8078,-87.9242,49.46,79,1,5.99,US,2021-12-02 04:02:39
321,Nabisar,25.0685,69.6419,72.79,59,42,4.81,PK,2021-12-02 04:02:40
322,Varzea Grande,-15.6467,-56.1325,75.16,89,100,4.7,BR,2021-12-02 04:02:40
323,Inirida,3.8653,-67.9239,74.71,94,100,2.33,CO,2021-12-02 04:02:40
324,Zemaiciu Naumiestis,55.3592,21.7022,36.39,100,100,11.25,LT,2021-12-02 04:03:41
325,Sarakhs,36.5449,61.1577,67.66,24,34,24.65,IR,2021-12-02 04:03:41
326,Omboue,-1.5746,9.2618,75.47,94,100,4.56,GA,2021-12-02 04:03:41
327,Saint-Augustin,51.226,-58.6502,16.52,90,100,1.99,CA,2021-12-02 04:03:42
328,Nizhnyaya Tavda,57.6731,66.1725,34.09,85,98,12.37,RU,2021-12-02 04:03:42
329,Sao Lourenco Do Sul,-31.3653,-51.9783,62.89,72,73,7.02,BR,2021-12-02 04:03:42
330,Shubarshi,48.5872,57.1869,34.2,89,100,10.94,KZ,2021-12-02 04:03:43
331,Antalaha,-14.9003,50.2788,76.17,85,48,5.66,MG,2021-12-02 04:03:43
332,Malchin,53.7333,12.7833,36.01,96,100,27.07,DE,2021-12-02 04:03:44
333,Auch,43.65,0.5833,45.25,98,100,5.01,FR,2021-12-02 04:03:44
334,Borovskoy,53.8,64.15,32.83,85,45,15.21,KZ,2021-12-02 04:03:44
335,Villeneuve-Sur-Lot,44.5,0.6667,42.85,95,100,6.67,FR,2021-12-02 04:03:44
336,Planaltina,-15.4528,-47.6142,67.77,92,100,1.5,BR,2021-12-02 04:00:29
337,Japaratuba,-10.5933,-36.9403,79.88,89,74,8.39,BR,2021-12-02 04:03:45
338,Kongoussi,13.3258,-1.5347,73.35,20,65,6.51,BF,2021-12-02 04:03:45
339,Ongandjera,-17.8833,15.0667,71.91,45,100,7.16,NA,2021-12-02 04:03:45
340,Barabinsk,55.3571,78.357,14.74,82,100,11.05,RU,2021-12-02 04:03:46
341,Urucui,-7.2294,-44.5561,79.9,68,97,2.86,BR,2021-12-02 04:03:46
342,Iracoubo,5.4802,-53.2011,77.85,89,100,10.51,GF,2021-12-02 04:03:46
343,Anloga,5.7947,0.8973,80.74,82,74,10.4,GH,2021-12-02 04:03:47
344,Gazanjyk,39.2446,55.5154,55.96,71,92,7.29,TM,2021-12-02 04:03:47
345,Lohardaga,23.4333,84.6833,66.06,44,3,3.89,IN,2021-12-02 04:03:47
346,Bloemfontein,-29.1211,26.214,68.61,52,78,13.73,ZA,2021-12-02 04:03:47
347,Natalio,-26.7167,-55.0833,62.37,70,61,1.28,PY,2021-12-02 04:03:48
348,Tres Arroyos,-38.3739,-60.2798,60.98,54,65,12.55,AR,2021-12-02 04:03:48
349,Iralaya,15.0,-83.2333,77.59,85,92,10.0,HN,2021-12-02 04:03:48
350,Kavaratti,10.5669,72.642,82.38,77,46,11.97,IN,2021-12-02 04:03:49
351,Lambarene,-0.7001,10.2406,74.75,96,100,2.3,GA,2021-12-02 04:03:49
352,Analipsis,35.3167,25.5667,55.94,68,0,4.72,GR,2021-12-02 04:03:49
353,Dunkirk,51.05,2.3667,42.1,71,100,8.99,FR,2021-12-02 04:03:50
354,Macon,39.8667,-88.9668,49.75,87,1,8.05,US,2021-12-02 04:03:50
355,Joshimath,30.5667,79.5667,57.6,63,100,1.19,IN,2021-12-02 04:03:50
356,Namwala,-15.7504,26.4384,68.76,43,7,1.07,ZM,2021-12-02 04:03:51
357,Chingirlau,51.095,54.0814,29.23,88,55,10.76,KZ,2021-12-02 04:03:51
358,Laguna,38.421,-121.4238,65.97,90,1,0.0,US,2021-12-02 04:03:51
359,Lere,10.387,8.5726,65.46,29,97,5.44,NG,2021-12-02 04:03:51
360,Porto Novo,6.4965,2.6036,78.03,88,96,4.47,BJ,2021-12-02 04:03:52
361,Kasongo-Lunda,-6.4667,16.8167,66.92,98,83,0.94,CD,2021-12-02 04:03:52
362,Sisimiut,66.9395,-53.6735,31.12,83,100,3.0,GL,2021-12-02 04:03:53
363,Plouzane,48.3833,-4.6167,43.12,78,20,9.22,FR,2021-12-02 04:03:53
364,Lidkoping,58.5052,13.1577,30.22,85,100,18.48,SE,2021-12-02 04:03:54
365,Narasannapeta,18.4167,84.05,73.87,60,80,3.51,IN,2021-12-02 04:03:54
366,Usinsk,65.9939,57.5281,12.81,95,100,8.84,RU,2021-12-02 04:03:54
367,Yar-Sale,66.8333,70.8333,2.44,95,100,15.7,RU,2021-12-02 04:03:55
368,Visby,57.6409,18.296,33.06,100,90,24.16,SE,2021-12-02 04:03:55
369,Oktyabrskoye,43.0645,44.7417,23.14,100,58,4.47,RU,2021-12-02 04:03:55
370,Igunga,-4.2833,33.8833,70.0,68,13,3.91,TZ,2021-12-02 04:03:56
371,Taman,45.2117,36.7161,43.12,71,14,11.21,RU,2021-12-02 04:03:56
372,Murgab,37.4966,61.9714,68.22,25,52,24.36,TM,2021-12-02 04:04:56
373,Bonavista,48.6499,-53.1147,36.12,72,17,9.13,CA,2021-12-02 04:04:56
374,Zimovniki,47.1483,42.4633,36.46,78,98,12.28,RU,2021-12-02 04:04:57
375,Taoudenni,22.6783,-3.9836,65.44,16,100,9.4,ML,2021-12-02 04:04:57
376,Marsh Harbour,26.5412,-77.0636,74.7,77,41,16.42,BS,2021-12-02 04:04:57
377,Amot,59.5714,7.9877,14.47,72,45,7.09,NO,2021-12-02 04:04:58
