City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
893,Trinidad,BO,91.38,scattered clouds,-14.8333,-64.9,Hotel Piesta
895,Tzucacab,MX,88.29,clear sky,20.0667,-89.05,Hotel Jabines Centro
896,Mutoko,ZW,77.79,broken clouds,-17.397,32.2268,Mutoko Hotel
897,Guiratinga,BR,85.68,overcast clouds,-16.3494,-53.7583,Hotel Angra do Cerrado - Guiratinga MT
898,Biabou,VC,87.89,scattered clouds,13.2,-61.1333,Spring Garden Resort
902,Camopi,GF,76.68,light rain,3.1655,-52.3158,La pousada
907,Santa Maria Da Boa Vista,BR,90.1,overcast clouds,-8.8078,-39.8256,Fênix Hotel e Restaurante
908,Ailigandi,PA,83.71,overcast clouds,9.2333,-78.0167,Akwa Reef Lodge
912,Aswan,EG,74.5,clear sky,24.0934,32.907,Nuba Nile
914,Maragogi,BR,81.1,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
915,Venado Tuerto,AR,75.36,overcast clouds,-33.7456,-61.9688,Hotel - Miro Park
916,Cotonou,BJ,85.98,few clouds,6.3654,2.4183,Novotel Cotonou Orisha
917,Naliya,IN,71.56,clear sky,23.2667,68.8333,jadeja jayendrasinh
919,Am Timan,TD,84.7,clear sky,11.0297,20.2827,Palais du chef Canton Salamt
920,Nortelandia,BR,89.22,overcast clouds,-14.4547,-56.8028,Hotel Karysmã
923,Tignere,CM,76.37,broken clouds,7.3667,12.65,SADECK
925,Manaure,CO,93.31,broken clouds,11.7751,-72.4445,Hotel Palaaima
928,Dire,ML,84.47,overcast clouds,12.2833,-10.9667,
935,Ballina,AU,69.76,overcast clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
936,Rotifunk,SL,77.61,overcast clouds,8.2333,-12.6833,
938,Virginia Beach,US,64.06,overcast clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
944,Riachao Das Neves,BR,74.97,overcast clouds,-11.7461,-44.91,Casa Costa
949,Deltona,US,77.86,clear sky,28.9005,-81.2637,Travelodge by Wyndham Deltona
950,Koulikoro,ML,80.38,broken clouds,14.0,-7.75,
952,Abu Dhabi,AE,74.97,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
958,Mangrol,IN,76.66,few clouds,21.1167,70.1167,Hotel The Royal Honours
959,Quelimane,MZ,80.17,clear sky,-17.8786,36.8883,Hotel Flamingo
960,Arrecife,ES,66.27,clear sky,28.963,-13.5477,Hotel Lancelot
961,Kinango,KE,80.71,light rain,-4.1372,39.3153,Legacy Hotel
963,Soubre,CI,78.93,scattered clouds,5.7856,-6.6083,Lynd Hotels Soubre
964,Santiago De Cao,PE,68.52,overcast clouds,-7.9589,-79.2392,Villa Konecta - Casa de vacaciones
966,Lodja,CD,71.89,light rain,-3.4833,23.4333,
969,Felipe Carrillo Puerto,MX,84.99,clear sky,19.5833,-88.05,Hotel La Ceiba
970,Bani,DO,82.85,few clouds,18.2833,-70.3333,Hospedaje Henriquez
971,Sakaraha,MG,78.22,clear sky,-22.9,44.5333,Le Relais
972,Maceio,BR,85.44,broken clouds,-9.6658,-35.7353,Poutur Pousada
